product_name,category,cost,price,profit_margin,lifecycle_months,stock,monthly_sales,inventory_turnover,monthly_profit,rating,release_date
노트북,전자제품,1500000,2000000,15.0,36,307,94,0.30618892508143325,47000000,3.5,2023-08-13
스마트폰,전자제품,800000,1200000,20.0,24,171,88,0.5146198830409356,35200000,5.0,2024-04-24
태블릿,전자제품,500000,800000,25.0,24,469,47,0.10021321961620469,14100000,3.8,2023-12-29
이어폰,액세서리,150000,300000,30.0,12,204,86,0.4215686274509804,12900000,3.4,2025-02-22
스마트워치,액세서리,200000,400000,35.0,18,122,85,0.6967213114754098,17000000,3.3,2025-04-10
데스크톱,전자제품,1200000,1800000,18.0,48,99,59,0.5959595959595959,35400000,3.2,2024-01-15
모니터,전자제품,300000,700000,22.0,36,121,99,0.8181818181818182,39600000,3.7,2024-10-04
키보드,액세서리,50000,150000,40.0,24,173,50,0.28901734104046245,5000000,4.2,2023-07-17
마우스,액세서리,30000,100000,45.0,12,240,56,0.23333333333333334,3920000,4.9,2024-06-02
프린터,전자제품,200000,400000,25.0,24,341,78,0.2287390029325513,15600000,4.1,2024-01-30
